turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,neutral
39,2026-05-19T02:14:19,Миша,дипсик,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
40,2026-05-19T02:14:28,Эвелина,да,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
41,2026-05-19T02:37:59,Миша,дикпик,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
42,2026-05-19T02:38:09,Миша,сука ненавижу),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
43,2026-05-19T02:38:13,Миша,нытиков,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
44,2026-05-19T02:38:22,Миша,которые ноют перед экзами,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
45,2026-05-19T02:38:28,Миша,нахуй их всех,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
46,2026-05-19T02:38:36,Эвелина,кто тебе там ноет,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
47,2026-05-19T02:39:05,Миша,я,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
48,2026-05-19T02:39:06,Миша,тебе,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
49,2026-05-19T02:39:24,Эвелина,я тебе тоже ною перед экзами,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
50,2026-05-19T02:39:26,Эвелина,1-1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
51,2026-05-19T02:39:32,Миша,ну ты вуман,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
52,2026-05-19T02:39:34,Миша,+ не ноешь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
53,2026-05-19T02:39:43,Миша,+ страха нет все,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
54,2026-05-19T02:39:44,Миша,фыдвжлаофжвыдалофы,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
55,2026-05-19T02:39:44,Эвелина,ты ахуел,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
56,2026-05-19T02:39:51,Миша,ладно ладно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
57,2026-05-19T02:40:03,Миша,такая волосатая нога может быть только у тестостеронового мужла,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
58,2026-05-19T02:40:22,Миша,чупа чупс,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
59,2026-05-19T02:40:42,Эвелина,даже не надо тут такого,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
60,2026-05-19T02:40:45,Эвелина,этого всего вашего,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
61,2026-05-19T02:41:38,Эвелина,так уж и быть согласна принять что ты бреешься если ты примешь что я этого не делаю,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
62,2026-05-19T02:42:35,Эвелина,есть еще какой... вообще знал бы ты меня все эти годы в институте у тебя бы гораздо больше двух прядей волос поседело,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
63,2026-05-19T02:42:49,Миша,схуяли,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
64,2026-05-19T02:43:02,Эвелина,ты даже не представляешь как я ныла перед экзаменами,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
65,2026-05-19T02:43:21,Миша,ой впизду,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
66,2026-05-19T02:43:28,Миша,не оправдывай мое нытье,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
67,2026-05-19T02:43:33,Эвелина,ты ахуел,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
68,2026-05-19T02:43:41,Эвелина,ты даже если постараешься,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
69,2026-05-19T02:43:41,Миша,захотел поныл,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
70,2026-05-19T02:43:43,Миша,захотел,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
71,2026-05-19T02:43:46,Миша,извинился,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
72,2026-05-19T02:43:47,Миша,все,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
73,2026-05-19T02:43:49,Миша,.,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
74,2026-05-19T02:43:52,Эвелина,не сможешь придумать,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
75,2026-05-19T02:44:05,Эвелина,формулировки которыми я ныла,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
76,2026-05-19T02:44:11,Эвелина,и поднять уровень драмы,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
77,2026-05-19T02:44:27,Миша,потому что я тупой мэн,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
78,2026-05-19T02:44:27,Эвелина,до той степени,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
79,2026-05-19T02:44:29,Миша,?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
80,2026-05-19T02:44:36,Эвелина,нет,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
81,2026-05-19T02:44:37,Миша,опять за свое,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
82,2026-05-19T02:44:39,Миша,понятно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
83,2026-05-19T02:44:43,Миша,началось,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
84,2026-05-19T02:44:45,Эвелина,потому что я нытик тут самый главный,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
85,2026-05-19T02:44:50,Эвелина,вообще то,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
86,2026-05-19T02:44:52,Миша,хуитик,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
87,2026-05-19T02:44:55,Миша,чет не видел,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
88,2026-05-19T02:44:57,Миша,ладно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
89,2026-05-19T02:44:59,Эвелина,тоже мне решил,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
90,2026-05-19T02:45:13,Эвелина,мое место занять,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
91,2026-05-19T02:45:28,Миша,спок спок,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
92,2026-05-19T02:45:30,Эвелина,твои слова это здравая реакция на гос,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
93,2026-05-19T02:45:32,Миша,вумен не переныть,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
94,2026-05-19T02:45:39,Эвелина,😭😭😭,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
95,2026-05-19T02:45:50,Миша,а ты вообще и рыба и мясо,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
96,2026-05-19T02:45:55,Миша,эта ты,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
97,2026-05-19T02:45:59,Эвелина,catfish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
98,2026-05-19T02:46:14,Эвелина,живот болит,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
99,2026-05-19T02:46:18,Эвелина,сколько можно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
100,2026-05-19T02:46:18,Миша,((((,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
101,2026-05-19T02:46:21,Эвелина,и так ничего не ем,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
102,2026-05-19T02:46:25,Миша,еще 8 месяцев,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
103,2026-05-19T02:46:38,Миша,потом сходишь покакать,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
104,2026-05-19T02:46:41,Миша,ребеночьком,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
105,2026-05-19T02:46:58,Эвелина,меня не мария зовут,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
106,2026-05-19T02:47:06,Эвелина,чтобы тут непорочные зачатия случались,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
107,2026-05-19T02:47:18,Миша,бро ты целовалась,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
108,2026-05-19T02:47:26,Миша,ты не парадокси,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
109,2026-05-19T02:47:29,Эвелина,дева Мария тоже,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
110,2026-05-19T02:47:32,Миша,нет,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
